    1.400   -108.4903438
    1.500   -108.8312682
     1.6   -109.0618879
     1.7   -109.2132140
    1.800   -109.3076736
    1.900   -109.3615483
    2.000   -109.3867007
    2.020   -109.3890928
    2.068   -109.3919238
    2.100   -109.3917993
    2.200   -109.3831903
    2.400   -109.3421831
    2.600   -109.2876732
    2.800   -109.2321060
    3.000   -109.1816231
    3.400   -109.1055169
    3.800   -109.0641153
    4.000   -109.0533134
    4.500   -109.0410459
     5.0   -109.0371754
     5.5   -109.0356576
     6.0   -109.0349046
     7.0   -109.0342186
     8.0   -109.0339944
     9.0   -109.0339303
    10.0   -109.0339067
