0.500   -83.8023776473
0.800   -99.9711844107
1.000   -104.5661376211
1.200   -106.9647168137
1.400   -108.1533910689
1.500   -108.4871239554
1.600   -108.7099514986
1.700   -108.8528264364
1.800   -108.9381081946
1.850   -108.9644091748
1.900   -108.9820184422
1.950   -108.9922895137
2.000   -108.9963805024
2.020   -108.9965136275
2.068   -108.9937867956
2.100   -108.9898484585
2.200   -108.9687704961
2.300   -108.9378139868
2.400   -108.9004035390
2.500   -108.8590430975
2.600   -108.8155512630
2.700   -108.7712355741
2.800   -108.7270227640
2.900   -108.6835569693
3.000   -108.6412740309
3.200   -108.5612810557
3.400   -108.4881702138
3.600   -108.4221233737
3.800   -108.3628629478
4.000   -108.3099039314
4.500   -108.2013521213
5.000   -108.1200361833
5.500   -108.0587446424
6.000   -108.0120093290
7.000   -107.9474352250
8.000   -107.9062761959
9.000   -107.8782655103
10.000   -107.8580083461
